epoch,train_acc,val_acc,val_f1,val_auc
1,0.54,0.5727272727272728,0.6967741935483871,0.5509090909090909
2,0.52,0.6363636363636364,0.6363636363636364,0.6462809917355372
3,0.635,0.6363636363636364,0.6296296296296297,0.6619834710743802
4,0.665,0.6818181818181818,0.6601941747572816,0.7239669421487602
5,0.625,0.7,0.6796116504854369,0.7474380165289256
6,0.705,0.7272727272727273,0.7222222222222222,0.7735537190082644
7,0.64,0.7,0.6972477064220184,0.796198347107438
8,0.655,0.8181818181818182,0.8245614035087719,0.8540495867768595
9,0.62,0.7909090909090909,0.7927927927927928,0.8631404958677686
10,0.765,0.7909090909090909,0.8,0.8748760330578512
11,0.715,0.7909090909090909,0.7927927927927928,0.8601652892561983
12,0.77,0.7909090909090909,0.7889908256880734,0.8654545454545454
13,0.68,0.8,0.8035714285714286,0.8669421487603306
14,0.75,0.8272727272727273,0.8256880733944955,0.8998347107438016
15,0.78,0.8363636363636363,0.8333333333333334,0.8983471074380165
16,0.805,0.8636363636363636,0.8672566371681416,0.9018181818181817
17,0.78,0.8545454545454545,0.8571428571428571,0.9107438016528925
18,0.805,0.8636363636363636,0.8672566371681416,0.9160330578512397
19,0.835,0.8454545454545455,0.8440366972477065,0.9148760330578513
20,0.815,0.8636363636363636,0.8648648648648649,0.9277685950413223
21,0.78,0.8818181818181818,0.8807339449541285,0.9297520661157025
22,0.79,0.8727272727272727,0.8679245283018868,0.9267768595041322
23,0.855,0.8818181818181818,0.8807339449541285,0.9386776859504131
24,0.83,0.8909090909090909,0.8888888888888888,0.9390082644628098
25,0.86,0.8727272727272727,0.8703703703703703,0.9186776859504132
26,0.865,0.9,0.8990825688073395,0.9376859504132231
27,0.845,0.8909090909090909,0.8888888888888888,0.9388429752066115
28,0.87,0.9,0.8990825688073395,0.9495867768595042
29,0.875,0.8909090909090909,0.8909090909090909,0.9371900826446281
30,0.875,0.8818181818181818,0.8828828828828829,0.9218181818181819
31,0.84,0.8636363636363636,0.8695652173913043,0.9319008264462809
32,0.92,0.8909090909090909,0.8909090909090909,0.9353719008264463
33,0.885,0.8909090909090909,0.8909090909090909,0.940495867768595
34,0.875,0.8727272727272727,0.8727272727272727,0.924297520661157
35,0.87,0.8636363636363636,0.8648648648648649,0.9305785123966942
36,0.865,0.8636363636363636,0.8648648648648649,0.9380165289256198
37,0.83,0.8909090909090909,0.8909090909090909,0.9370247933884298
38,0.875,0.8818181818181818,0.8828828828828829,0.9343801652892562
39,0.88,0.8909090909090909,0.8928571428571429,0.9350413223140496
40,0.91,0.8818181818181818,0.8807339449541285,0.9312396694214875
41,0.855,0.8636363636363636,0.8648648648648649,0.9305785123966942
42,0.86,0.9,0.9026548672566371,0.920495867768595
43,0.865,0.8909090909090909,0.8928571428571429,0.9330578512396694
44,0.89,0.8909090909090909,0.8909090909090909,0.9487603305785124
45,0.89,0.8818181818181818,0.8807339449541285,0.9451239669421487
46,0.905,0.8636363636363636,0.8648648648648649,0.9300826446280991
